#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
  13.300      2.50246E-01  2.98432E-01  2.75675E-01 -1.29394E-01  6.92177E-02  2.01394E-01 -2.16153E-01 -1.16429E-01  5.40986E-02
  13.400      2.48101E-01  2.98098E-01  2.77438E-01 -1.34807E-01  6.30696E-02  1.97906E-01 -2.16346E-01 -1.22497E-01  4.69614E-02
  13.500      2.45931E-01  2.97696E-01  2.79131E-01 -1.40142E-01  5.68765E-02  1.94273E-01 -2.16308E-01 -1.28419E-01  3.97672E-02
  13.600      2.43737E-01  2.97225E-01  2.80754E-01 -1.45396E-01  5.06430E-02  1.90499E-01 -2.16041E-01 -1.34187E-01  3.25247E-02
  13.700      2.41520E-01  2.96688E-01  2.82307E-01 -1.50566E-01  4.43736E-02  1.86584E-01 -2.15545E-01 -1.39796E-01  2.52426E-02
  13.800      2.39282E-01  2.96084E-01  2.83789E-01 -1.55651E-01  3.80729E-02  1.82533E-01 -2.14822E-01 -1.45238E-01  1.79299E-02
  13.900      2.37024E-01  2.95415E-01  2.85200E-01 -1.60647E-01  3.17454E-02  1.78348E-01 -2.13874E-01 -1.50508E-01  1.05953E-02
  14.000      2.34746E-01  2.94681E-01  2.86538E-01 -1.65552E-01  2.53956E-02  1.74031E-01 -2.12702E-01 -1.55601E-01  3.24787E-03
  14.100      2.32451E-01  2.93884E-01  2.87804E-01 -1.70365E-01  1.90281E-02  1.69587E-01 -2.11308E-01 -1.60509E-01 -4.10353E-03
  14.200      2.30139E-01  2.93024E-01  2.88997E-01 -1.75084E-01  1.26474E-02  1.65018E-01 -2.09695E-01 -1.65229E-01 -1.14499E-02
  14.300      2.27810E-01  2.92103E-01  2.90117E-01 -1.79706E-01  6.25793E-03  1.60327E-01 -2.07866E-01 -1.69754E-01 -1.87824E-02
  14.400      2.25468E-01  2.91120E-01  2.91163E-01 -1.84229E-01 -1.35873E-04  1.55518E-01 -2.05823E-01 -1.74080E-01 -2.60920E-02
  14.500      2.23111E-01  2.90078E-01  2.92136E-01 -1.88653E-01 -6.52959E-03  1.50596E-01 -2.03569E-01 -1.78203E-01 -3.33698E-02
  14.600      2.20742E-01  2.88978E-01  2.93035E-01 -1.92975E-01 -1.29188E-02  1.45562E-01 -2.01107E-01 -1.82118E-01 -4.06070E-02
  14.700      2.18362E-01  2.87820E-01  2.93859E-01 -1.97194E-01 -1.92993E-02  1.40421E-01 -1.98440E-01 -1.85821E-01 -4.77947E-02
